timestamp,Temperature,Humidity,CO2,Noise,Pressure
1559122593,23.9,42,804,47,1005.8
1559122290,24,42,882,44,1005.8
1559121988,24,42,937,45,1005.6
1559121686,24.2,43,1003,52,1005.6
1559121384,24.6,43,1111,67,1005.4
1559121081,24.6,43,1236,60,1005.4
1559120779,24.5,43,1166,49,1005.4
1559120477,24.4,43,1096,57,1005.3
1559120174,24.2,43,1002,71,1005.2
1559119913,24,43,906,65,1005.2
1559119611,23.8,43,776,68,1005.1
1559119309,23.5,43,706,58,1005.1
1559119007,23.3,43,584,59,1005.1
1559118705,23.3,42,509,66,1005
1559118401,23.5,42,522,51,1004.9
1559118099,23.8,42,603,45,1004.8
1559117798,23.9,42,655,45,1004.7
1559117496,24,42,694,46,1004.5
1559117194,24.2,42,772,46,1004.4
1559116891,24.3,42,868,45,1004.4
1559116588,24.4,42,968,51,1004.3
1559116285,24.3,42,1003,68,1004.2
1559116184,24.2,42,975,66,1004.2
1559115882,24.1,42,886,63,1004.1
1559115580,23.8,42,819,58,1004.1
1559115278,23.5,42,737,60,1003.9
1559114976,23.2,42,645,64,1003.9
1559114673,22.9,42,530,62,1003.9
1559114371,22.6,41,438,71,1003.8
1559114069,22.7,41,394,61,1003.9
1559113767,22.8,41,422,45,1003.9
1559113464,23.1,40,487,47,1004
1559113162,23.3,40,397,52,1003.9
1559112860,23.4,40,394,50,1003.9
1559112558,23.5,40,389,46,1004
1559112256,23.5,40,388,47,1004
1559111953,23.5,40,392,45,1004
1559111651,23.5,40,398,46,1004
1559111349,23.5,40,395,45,1004
1559111046,23.5,40,394,45,1004
1559110744,23.6,40,393,47,1004
1559110442,23.6,40,390,46,1004
1559110140,23.7,40,390,45,1004.1
1559109837,23.7,40,394,46,1004.1
1559109535,23.7,40,395,45,1004.2
1559109233,23.7,40,404,47,1004.2
1559108930,23.8,40,410,46,1004.2
1559108628,23.8,39,403,46,1004.2
1559108326,23.8,39,401,46,1004.1
1559108024,23.8,39,404,46,1004.1
1559107722,23.8,39,388,46,1004
1559107420,23.8,39,386,48,1004.1
1559107117,23.8,39,379,48,1004.1
1559106815,23.7,39,372,58,1004.1
1559106513,23.7,39,381,50,1004.1
1559106211,23.7,39,380,47,1004.1
1559105909,23.7,39,375,46,1004.1
1559105606,23.7,39,381,47,1004.1
1559105304,23.9,39,382,50,1004.1
1559105002,23.9,39,383,45,1004.1
1559104699,23.9,39,363,44,1004.2
1559104397,24,39,384,44,1004.3
1559104095,24,39,383,44,1004.3
1559103792,24.1,39,392,44,1004.3
1559103490,24.2,39,394,45,1004.2
1559103188,24.2,39,393,44,1004.2
1559102886,24.2,39,393,44,1004.2
1559102584,24.2,39,394,42,1004.2
1559102282,24.2,39,393,42,1004.2
1559101980,24.2,39,410,42,1004.3
1559101677,24.2,39,388,43,1004.4
1559101375,24.2,39,397,42,1004.4
1559101073,24.2,39,401,42,1004.4
1559100771,24.2,39,391,42,1004.5
1559100469,24.2,39,401,42,1004.5
1559100167,24.2,39,400,41,1004.5
1559099865,24.2,39,399,41,1004.5
1559099563,24.2,39,404,41,1004.5
1559099260,24.2,39,401,41,1004.4
1559098959,24.2,39,409,41,1004.4
1559098657,24.2,39,395,41,1004.4
1559098354,24.2,39,390,41,1004.5
1559098053,24.2,39,392,41,1004.5
1559097751,24.2,39,395,41,1004.4
1559097449,24.2,39,386,41,1004.4
1559097147,24.2,39,413,41,1004.5
1559096845,24.2,39,390,41,1004.5
1559096542,24.2,39,389,41,1004.5
1559096240,24.2,39,389,41,1004.5
1559095938,24.2,39,382,41,1004.6
1559095636,24.2,39,395,41,1004.6
1559095334,24.2,39,387,40,1004.6
1559095031,24.2,39,393,41,1004.6
1559094729,24.2,39,384,41,1004.6
1559094427,24.2,39,394,41,1004.6
1559094125,24.2,39,391,41,1004.6
1559093822,24.2,39,395,41,1004.5
1559093520,24.2,39,381,40,1004.5
1559093218,24.2,39,397,40,1004.5
1559092916,24.2,39,397,41,1004.5
1559092614,24.2,39,390,40,1004.6
1559092311,24.2,39,386,40,1004.5
1559092009,24.2,39,389,40,1004.6
1559091707,24.2,39,385,40,1004.5
1559091404,24.2,39,401,40,1004.5
1559091102,24.2,39,395,40,1004.6
1559090800,24.2,39,403,40,1004.6
1559090498,24.2,39,439,40,1004.7
1559090195,24.2,39,392,40,1004.7
1559089893,24.2,39,385,40,1004.7
1559089591,24.2,39,392,40,1004.7
1559089288,24.2,39,387,40,1004.7
1559088986,24.2,39,387,40,1004.7
1559088684,24.3,39,392,40,1004.7
1559088381,24.3,39,393,40,1004.7
1559088080,24.3,39,391,40,1004.8
1559087777,24.3,39,389,40,1004.8
1559087475,24.3,39,394,40,1004.9
1559087173,24.3,39,389,40,1004.9
1559086871,24.3,39,391,40,1004.9
1559086568,24.3,39,390,40,1004.9
1559086266,24.3,39,390,40,1004.9
1559085964,24.3,39,403,40,1005.1
1559085661,24.3,39,411,40,1005.1
1559085359,24.3,39,417,40,1005
1559085057,24.4,39,399,40,1005
1559084755,24.4,39,392,40,1005.1
1559084453,24.4,39,388,40,1005.1
1559084150,24.4,39,392,40,1005.1
1559083848,24.4,39,401,40,1005.2
1559083546,24.5,39,394,40,1005.3
1559083244,24.5,39,401,40,1005.3
1559082942,24.5,39,416,40,1005.3
1559082639,24.5,39,413,40,1005.3
1559082337,24.5,39,414,40,1005.3
1559082035,24.6,39,417,40,1005.4
1559081733,24.6,39,408,40,1005.4
1559081431,24.6,39,407,40,1005.4
1559081128,24.6,39,414,41,1005.4
1559080826,24.7,39,426,38,1005.4
1559080525,24.6,39,416,35,1005.5
1559080223,24.6,39,408,36,1005.6
1559079921,24.6,39,396,35,1005.5
1559079619,24.6,39,404,36,1005.5
1559079317,24.6,39,404,36,1005.6
1559079015,24.6,39,426,35,1005.6
1559078713,24.6,39,400,36,1005.5
1559078411,24.6,39,405,37,1005.6
1559078108,24.6,39,425,36,1005.7
1559077807,24.6,39,433,36,1005.7
1559077505,24.6,39,411,35,1005.8
1559077203,24.6,39,406,37,1005.8
1559076901,24.6,39,400,,1005.8
1559076598,24.6,39,417,35,1005.8
1559076296,24.6,39,396,35,1005.8
1559075994,24.6,39,418,36,1005.7
1559075692,24.5,39,421,35,1005.7
1559075391,24.5,39,406,35,1005.8
1559075089,24.5,39,391,36,1005.7
1559074787,24.5,39,394,36,1005.8
1559074485,24.4,39,391,35,1005.7
1559074183,24.4,39,393,36,1005.7
1559073880,24.4,39,390,36,1005.7
1559073578,24.4,39,391,36,1005.7
1559073275,24.4,39,392,36,1005.7
1559072973,24.4,39,388,36,1005.7
1559072671,24.4,39,385,36,1005.8
1559072369,24.4,39,393,36,1005.7
1559072067,24.4,39,391,36,1005.7
1559071764,24.4,39,382,36,1005.7
1559071462,24.4,39,393,36,1005.7
1559071160,24.4,39,391,37,1005.6
1559070858,24.4,39,384,38,1005.5
1559070556,24.3,39,383,36,1005.5
1559070254,24.3,39,386,37,1005.5
1559069951,24.3,39,385,41,1005.5
1559069649,24.3,39,385,42,1005.5
1559069347,24.3,39,409,42,1005.4
1559069045,24.3,39,408,42,1005.4
1559068743,24.3,39,387,42,1005.4
1559068441,24.4,39,389,41,1005.5
1559068138,24.4,39,399,41,1005.4
1559067836,24.4,39,389,42,1005.4
1559067534,24.4,39,395,42,1005.4
1559067232,24.4,39,398,42,1005.3
1559066930,24.3,39,409,41,1005.3
1559066629,24.3,39,374,42,1005.3
1559066327,24.3,39,385,42,1005.3
1559066024,24.3,39,385,41,1005.3
1559065722,24.3,39,392,42,1005.2
1559065420,24.3,39,381,42,1005.2
1559065118,24.3,39,381,42,1005.1
1559064816,24.3,39,395,41,1005.1
1559064513,24.3,39,401,41,1005.2
1559064211,24.4,39,398,41,1005.2
1559063909,24.4,39,400,42,1005.2
1559063607,24.4,39,397,42,1005.2
1559063306,24.4,39,400,42,1005.2
1559063004,24.3,39,385,42,1005.2
1559062702,24.4,39,393,41,1005.2
1559062400,24.3,39,390,42,1005.2
1559062097,24.3,39,397,41,1005.1
1559061796,24.3,39,384,42,1005.1
1559061493,24.3,39,391,42,1005
1559061191,24.3,39,396,42,1005
1559060889,24.3,39,411,43,1005
1559060587,24.3,39,383,42,1005
1559060285,24.3,39,389,,1005
1559059983,24.3,39,459,42,1005
1559059681,24.3,39,400,42,1005
1559059378,24.4,39,392,42,1005
1559059076,24.4,39,403,41,1005
1559058774,24.3,39,419,42,1005
1559058473,24.3,39,400,42,1005.1
1559058171,24.3,39,465,42,1005
1559057869,24.2,39,408,42,1005.1
1559057569,24.2,39,389,42,1005
1559057266,24.2,39,394,42,1005.1
1559056964,24.2,39,398,42,1005.1
1559056662,24.2,39,395,43,1005.2
1559056360,24.2,40,392,43,1005.2
1559056058,24.2,40,414,43,1005.1
1559055756,24.2,40,410,42,1005.2
1559055454,24.2,40,382,42,1005.2
1559055152,24.2,40,384,42,1005.3
1559054851,24.2,40,386,42,1005.3
1559054549,24.2,40,392,42,1005.3
1559054246,24.2,40,397,42,1005.3
1559053944,24.2,40,395,43,1005.3
1559053642,24.2,40,385,42,1005.3
